type_habits,prix,adresse,image_lien
Ensemble Nike Tech Fleece,40000.0,"location_onGrand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5168364_uploaded_image1_1738628825.jpg
Vetements homme,15000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119513_uploaded_image1_1736026950.jpg
Chemises El-Hadji,18000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119265_uploaded_image1_1736012510.jpg
Chemise el hadji,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119693_uploaded_image1_1736044548.jpg
Ensemble blouson,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5166796_uploaded_image1_1738580809.jpg
Ensemble homme,17000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166739_uploaded_image1_1738579217.jpg
Ensemble homme,17000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166733_uploaded_image1_1738579033.jpg
Ensemble homme,32500.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166726_uploaded_image1_1738578838.jpg
Vêtements homme,10000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165738_uploaded_image2_1738518505.jpeg
Pantalon,14000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165652_uploaded_image1_1738513597.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165562_uploaded_image1_1738508823.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165560_uploaded_image1_1738508708.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165558_uploaded_image1_1738508550.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165554_uploaded_image1_1738508381.jpg
Ensemble homme,20000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116407_uploaded_image1_1735847542.jpg
Ensemble 3 Pièces,30000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5160811_uploaded_image1_1738241510.jpg
Jogging coton homme,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5159405_uploaded_image1_1738166663.jpg
Jogging coton bas large,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5159399_uploaded_image1_1738166591.jpg
Lot de caleçons,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5156588_uploaded_image1_1738049517.jpg
Chemises homme en coton,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5156585_uploaded_image1_1738049440.jpg
Jean Celio,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5156025_uploaded_image1_1738009610.jpg
Ensemble homme,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5155643_uploaded_image1_1737994709.jpg
Vêtements homme,7500.0,"location_onKaolack, Sénégal",https://images.coinafrique.com/thumb_5155250_uploaded_image1_1737982432.jpg
Costume africain,40000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5155092_uploaded_image2_1737976206.jpeg
Vêtements homme,13000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154164_uploaded_image1_1737913900.jpg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154161_uploaded_image1_1737913840.jpg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154157_uploaded_image2_1737913775.jpeg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154154_uploaded_image1_1737913707.jpg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154152_uploaded_image1_1737913645.jpg
Pulls,11000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5149969_uploaded_image1_1737655503.jpg
T-shirt,8000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5149957_uploaded_image1_1737655158.jpg
Dialabé homme,10000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5149891_uploaded_image1_1737653080.jpg
Djialabé,12000.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5147857_uploaded_image1_1737561601.jpg
Djialap pour homme,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104607_uploaded_image1_1734974719.jpg
Djalaba pour homme,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5105336_uploaded_image1_1735030845.jpg
Pull unique,8500.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5147705_uploaded_image1_1737556553.jpg
Pull unique,8500.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5147699_uploaded_image1_1737556424.jpg
Costume africain,30000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145144_uploaded_image1_1737451281.jpg
Ensembles blouson,10000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5139741_uploaded_image1_1737118803.jpg
Custume africain,30000.0,"location_onHann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138792_uploaded_image1_1737058114.jpg
Vêtements homme,30000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5137131_uploaded_image1_1736980238.jpg
Ensemble homme,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5101945_uploaded_image1_1734782082.jpg
Ensemble sous-vêtements et caleçon,2000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5133103_uploaded_image1_1736792637.jpg
Chemise homme,10000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131485_uploaded_image1_1736700008.jpg
Vêtements homme,6000.0,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131126_uploaded_image1_1736678817.jpg
Bas large homme,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5131117_uploaded_image1_1736677702.jpg
Jalabe,25000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130694_uploaded_image1_1736629706.jpg
T-shirt,6000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130442_uploaded_image1_1736617115.jpg
Ensemble short et t-shirt,5000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5129420_uploaded_image1_1736548677.jpg
Ensemble pull,10000.0,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5129006_uploaded_image1_1736528645.jpg
Jalaba homme,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5126818_uploaded_image1_1736423423.jpg
Costumes homme,50000.0,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5126225_uploaded_image1_1736384138.jpg
Jacket en cuir,14000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125921_uploaded_image1_1736368741.jpg
Lacoste homme,8000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125477_uploaded_image1_1736354339.jpg
Pull-over à capuche,8500.0,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5124119_uploaded_image1_1736283986.jpg
Vêtements homme,,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5123705_uploaded_image1_1736266670.jpg
Chaussures Adidas pantalon,9000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5122595_uploaded_image1_1736216554.jpg
Tennis de sécurité,20000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121972_uploaded_image1_1736187214.jpg
Tennis de travail,709373735.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121970_uploaded_image1_1736187110.jpg
Tennis de travail,15000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121968_uploaded_image2_1736186951.jpeg
Vêtements,,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5121681_uploaded_image1_1736175141.jpg
Ensemble Costume africain,35000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119898_uploaded_image1_1736069027.jpg
Ensemble africain,30000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119894_uploaded_image1_1736068886.jpg
Costume africain,35000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5118948_uploaded_image1_1735994888.jpg
Costume africain,45000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5118945_uploaded_image1_1735994636.jpg
Ensemble pull-over,15000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5118036_uploaded_image1_1735932645.jpg
T-shirt personnalisé pour noël,5000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5076364_uploaded_image1_1733345663.jpg
Jeans Cargo homme,8000.0,"location_onDamel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5115022_uploaded_image1_1735766837.jpg
Pull Hiver,5000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5114294_uploaded_image1_1735672479.jpg
Vêtements hommes,10000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113767_uploaded_image1_1735639791.jpg
Blouson homme,7500.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113572_uploaded_image1_1735625725.jpg
Pantalons homme,6500.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5111696_uploaded_image1_1735494852.jpg
Ensemble chemise et pantalon,12000.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5111688_uploaded_image1_1735494507.jpg
Costumes africains,,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110645_uploaded_image1_1735408325.jpg
survêtement gris homme,15000.0,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110377_uploaded_image1_1735393334.jpg
Ensemble gris,15000.0,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110368_uploaded_image1_1735392770.jpg
Ensemble survêtement bleu,15000.0,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110343_uploaded_image1_1735391014.jpg
Ensemble survêtement bleu,15000.0,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110311_uploaded_image1_1735389448.jpg
Ensemble chemise,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5109611_uploaded_image1_1735334339.jpg
Costum safari,50000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5108457_uploaded_image1_1735264866.jpg
Costume africain,35000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5107282_uploaded_image1_1735178930.jpg
Costume africain,40000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5107278_uploaded_image1_1735178241.jpg
