type_chaussures,prix,adresse,image_lien
Chaussures homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5115555_uploaded_image1_1735817188.jpg
Chaussures homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5115549_uploaded_image1_1735816929.jpg
Chaussures New balance,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5160982_uploaded_image1_1738247854.jpg
Chaussures homme,38000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5160860_uploaded_image1_1738243354.jpg
Chaussures homme,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5159221_uploaded_image1_1738162375.jpg
Chaussures hommes,2400.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5157556_uploaded_image1_1738081427.jpg
Chaussures Timberlands,55000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5157552_uploaded_image1_1738081319.jpg
Chaussures hommes,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5157548_uploaded_image1_1738081163.jpg
Chaussures hommes,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5157546_uploaded_image1_1738081046.jpg
Chaussures  homme,25000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5157484_uploaded_image1_1738078792.jpg
Chaussures Jordan,35000.0,"location_onHann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5155951_uploaded_image1_1738005577.jpg
Baskets New balance et Adidas campus,32000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5153222_uploaded_image1_1737841616.jpg
Chaussures Travis schot,30000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5153219_uploaded_image1_1737841467.jpg
Baskets Adidas gazelle,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5153216_uploaded_image1_1737841359.jpg
Timberlands,50000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5153210_uploaded_image1_1737841100.jpg
Chaussures Bakhdad shoes,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5153207_uploaded_image1_1737840913.jpg
Chaussures homme,25000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5152932_uploaded_image1_1737822003.jpg
Chaussures homme,35000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5152904_uploaded_image1_1737820421.jpg
Chaussures homme,15000.0,"location_onGrand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5152563_uploaded_image1_1737805034.jpg
Chaussures Adidas,,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5151881_uploaded_image1_1737752495.jpg
Chaussures Timberland,30000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5150663_uploaded_image1_1737692759.jpg
